#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1944 05 24  4527  4527.5 1520  1  3.000  2.333  3.667  3.000  1.667  1.333  2.333  2.667   15    9   22   15    6    5    9   12    12  12     -1.0     -1.0 2
1944 05 25  4528  4528.5 1520  2  1.000  2.333  1.667  1.000  1.667  1.000  2.333  1.667    4    9    6    4    6    4    9    6     6   0     -1.0     -1.0 2
1944 05 26  4529  4529.5 1520  3  3.000  2.000  1.667  1.667  1.333  1.667  1.333  1.000   15    7    6    6    5    6    5    4     7   0     -1.0     -1.0 2
1944 05 27  4530  4530.5 1520  4  2.333  3.000  2.333  3.000  2.333  1.000  1.000  0.667    9   15    9   15    9    4    4    3     8   0     -1.0     -1.0 2
1944 05 28  4531  4531.5 1520  5  0.667  0.667  1.667  1.667  1.667  1.333  1.333  2.333    3    3    6    6    6    5    5    9     5  18     -1.0     -1.0 2
1944 05 29  4532  4532.5 1520  6  3.333  2.667  2.667  3.667  3.000  3.667  3.333  6.000   18   12   12   22   15   22   18   80    25  32     -1.0     -1.0 2
1944 05 30  4533  4533.5 1520  7  3.667  2.333  3.000  3.000  3.000  1.667  0.667  1.333   22    9   15   15   15    6    3    5    11  38     -1.0     -1.0 2
1944 05 31  4534  4534.5 1520  8  1.000  2.333  2.667  1.000  1.333  3.667  2.000  2.667    4    9   12    4    5   22    7   12     9  27     -1.0     -1.0 2
1944 06 01  4535  4535.5 1520  9  2.333  0.667  1.333  1.000  1.333  2.000  2.000  0.333    9    3    5    4    5    7    7    2     5  23     -1.0     -1.0 2
1944 06 02  4536  4536.5 1520 10  0.667  1.333  1.333  2.333  1.333  0.667  1.667  1.333    3    5    5    9    5    3    6    5     5  13     -1.0     -1.0 2
1944 06 03  4537  4537.5 1520 11  0.333  0.667  1.333  0.667  0.667  0.333  1.000  1.000    2    3    5    3    3    2    4    4     3   0     -1.0     -1.0 2
1944 06 04  4538  4538.5 1520 12  0.667  0.667  0.667  0.667  0.667  0.667  3.333  3.000    3    3    3    3    3    3   18   15     6   0     -1.0     -1.0 2
1944 06 05  4539  4539.5 1520 13  2.000  1.000  1.333  1.667  2.333  2.667  2.000  1.000    7    4    5    6    9   12    7    4     7   0     -1.0     -1.0 2
1944 06 06  4540  4540.5 1520 14  1.667  1.000  0.667  0.667  1.000  1.333  1.667  0.333    6    4    3    3    4    5    6    2     4   0     -1.0     -1.0 2
1944 06 07  4541  4541.5 1520 15  0.000  0.333  0.667  1.000  1.000  1.667  1.000  0.333    0    2    3    4    4    6    4    2     3   0     -1.0     -1.0 2
1944 06 08  4542  4542.5 1520 16  0.333  1.000  0.333  0.333  0.667  1.000  0.667  0.667    2    4    2    2    3    4    3    3     3  13     -1.0     -1.0 2
1944 06 09  4543  4543.5 1520 17  1.333  1.667  1.333  1.000  1.667  1.667  1.000  1.667    5    6    5    4    6    6    4    6     5  12     -1.0     -1.0 2
1944 06 10  4544  4544.5 1520 18  2.000  1.000  0.667  1.000  1.333  1.000  1.000  1.000    7    4    3    4    5    4    4    4     4  13     -1.0     -1.0 2
1944 06 11  4545  4545.5 1520 19  1.000  0.667  1.333  1.000  1.333  2.333  2.000  2.000    4    3    5    4    5    9    7    7     6  12     -1.0     -1.0 2
1944 06 12  4546  4546.5 1520 20  1.000  1.000  0.667  0.667  0.667  0.667  0.333  0.000    4    4    3    3    3    3    2    0     3   0     -1.0     -1.0 2
1944 06 13  4547  4547.5 1520 21  0.000  1.000  1.000  1.000  1.667  1.333  1.667  2.000    0    4    4    4    6    5    6    7     4   0     -1.0     -1.0 2
1944 06 14  4548  4548.5 1520 22  2.000  1.000  0.667  1.667  2.667  0.667  1.333  4.000    7    4    3    6   12    3    5   27     8   0     -1.0     -1.0 2
1944 06 15  4549  4549.5 1520 23  4.000  3.333  3.667  2.000  2.667  3.333  3.000  3.333   27   18   22    7   12   18   15   18    17   3     -1.0     -1.0 2
1944 06 16  4550  4550.5 1520 24  3.000  1.667  3.000  2.667  2.667  2.000  2.000  2.667   15    6   15   12   12    7    7   12    11   5     -1.0     -1.0 2
1944 06 17  4551  4551.5 1520 25  2.000  1.333  2.000  1.000  1.000  2.000  0.667  2.667    7    5    7    4    4    7    3   12     6  13     -1.0     -1.0 2
1944 06 18  4552  4552.5 1520 26  2.000  2.000  2.000  1.000  1.333  1.000  0.667  1.000    7    7    7    4    5    4    3    4     5  13     -1.0     -1.0 2
1944 06 19  4553  4553.5 1520 27  1.000  1.667  0.667  1.667  1.333  0.667  0.333  2.333    4    6    3    6    5    3    2    9     5  13     -1.0     -1.0 2
1944 06 20  4554  4554.5 1521  1  2.333  2.667  2.667  2.333  1.667  1.333  2.333  3.333    9   12   12    9    6    5    9   18    10  13     -1.0     -1.0 2
1944 06 21  4555  4555.5 1521  2  2.667  4.333  4.333  3.667  2.000  2.000  2.000  2.000   12   32   32   22    7    7    7    7    16  13     -1.0     -1.0 2
1944 06 22  4556  4556.5 1521  3  3.333  4.333  3.333  4.000  2.333  4.667  2.000  3.333   18   32   18   27    9   39    7   18    21  13     -1.0     -1.0 2
1944 06 23  4557  4557.5 1521  4  2.000  1.667  4.667  2.000  2.000  3.667  2.000  2.667    7    6   39    7    7   22    7   12    13  13     -1.0     -1.0 2
1944 06 24  4558  4558.5 1521  5  2.333  2.000  2.000  1.333  1.333  1.000  0.667  0.667    9    7    7    5    5    4    3    3     5  13     -1.0     -1.0 2
1944 06 25  4559  4559.5 1521  6  0.667  1.000  0.667  0.333  0.667  1.667  2.000  0.667    3    4    3    2    3    6    7    3     4  13     -1.0     -1.0 2
1944 06 26  4560  4560.5 1521  7  1.667  2.333  2.000  2.667  3.667  4.000  4.000  4.000    6    9    7   12   22   27   27   27    17  12     -1.0     -1.0 2
